CODDIS,CODDEP,IndPresidente,IndSenaNacion,IndDipuNacion,IndGobernador,IndSenaProvin,IndDipuProvin,IndDipuMunici,IndTribCuenta
"11","011","0","0","1","0","0","0","0","0"
"11","012","0","0","1","0","0","0","0","0"
"11","013","0","0","1","0","0","0","0","0"
"11","014","0","0","1","0","0","0","0","0"
"11","015","0","0","1","0","0","0","0","0"
"11","016","0","0","1","0","0","0","0","0"
"11","017","0","0","1","0","0","0","0","0"
"11","018","0","0","1","0","0","0","0","0"
"11","019","0","0","1","0","0","0","0","0"
"11","020","0","0","1","0","0","0","0","0"
"11","021","0","0","1","0","0","0","0","0"
"11","022","0","0","1","0","0","0","0","0"
"11","999","0","0","1","0","0","0","0","0"
"12","001","0","0","1","0","0","1","0","0"
"12","002","0","0","1","0","0","1","0","0"
"12","003","0","0","1","0","0","1","0","0"
"12","004","0","0","1","0","0","0","0","0"
"12","005","0","0","1","0","0","0","0","0"
"12","006","0","0","1","0","0","0","0","0"
"12","007","0","0","1","0","0","0","0","0"
"12","008","0","0","1","0","0","1","0","0"
"12","009","0","0","1","0","0","0","0","0"
"12","010","0","0","1","0","0","1","0","0"
"12","011","0","0","1","0","0","0","0","0"
"12","012","0","0","1","0","0","0","0","0"
"12","013","0","0","1","0","0","0","0","0"
"12","014","0","0","1","0","0","0","0","0"
"12","015","0","0","1","0","0","1","0","0"
"12","016","0","0","1","0","0","0","0","0"
"12","017","0","0","1","0","0","1","0","0"
"12","018","0","0","1","0","0","0","0","0"
"12","999","0","0","1","0","0","1","0","0"
"13","001","0","0","1","0","1","1","0","0"
"13","002","0","0","1","0","1","1","0","0"
"13","003","0","0","1","0","1","1","0","0"
"13","004","0","0","1","0","1","1","0","0"
"13","005","0","0","1","0","1","1","0","0"
"13","006","0","0","1","0","1","1","0","0"
"13","007","0","0","1","0","1","1","0","0"
"13","008","0","0","1","0","1","1","0","0"
"13","009","0","0","1","0","1","1","0","0"
"13","010","0","0","1","0","1","1","0","0"
"13","011","0","0","1","0","1","1","0","0"
"13","012","0","0","1","0","1","1","0","0"
"13","013","0","0","1","0","1","1","0","0"
"13","014","0","0","1","0","1","1","0","0"
"13","015","0","0","1","0","1","1","0","0"
"13","016","0","0","1","0","1","1","0","0"
"13","017","0","0","1","0","1","1","0","0"
"13","018","0","0","1","0","1","1","0","0"
"13","991","0","0","1","0","1","1","0","0"
"13","992","0","0","1","0","1","1","0","0"
"13","993","0","0","1","0","1","1","0","0"
"13","994","0","0","1","0","1","1","0","0"
